Country,Percentile,"sptinc_z_2015
Pre-tax national income 
Top 10% | share
2015","shweal_z_2015
Net personal wealth
Top 10% | share | adults | equal split
2015","agdpro_992_i_2015
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2022)
2015","sptinc_z_2015
Pre-tax national income 
Top 1% | share
2015","gptinc_992_j_2015
Pre-tax national income 
Total population | Gini coefficient | adults | equal split
2015","sptinc_992_j_2015
Pre-tax national income 
Bottom 50% | share | adults | equal split
2015","sptinc_992_j_2015
Pre-tax national income 
Middle 40% | share | adults | equal split
2015","sptinc_992_j_2015
Pre-tax national income 
Top 10% | share | adults | equal split
2015","sptinc_992_j_2015
Pre-tax national income 
Top 1% | share | adults | equal split
2015"
 Bahrain,p90p100,0.5572,0.6685,,,,,,0.5572,
 Bahrain,pall,,,52810.9038,,,,,,
 Bahrain,p99p100,,,,0.2434,,,,,0.2434
 Bahrain,p0p50,,,,,,,,,
 Bahrain,p50p90,,,,,,,,,
 Botswana,p90p100,0.5926,0.7851,,,,,,0.5926,
 Botswana,pall,,,19621.1808,,,,,,
 Botswana,p99p100,,,,0.2274,,,,,0.2274
 Botswana,p0p50,,,,,,,,,
 Botswana,p50p90,,,,,,,,,
 Egypt,p90p100,0.4939,0.6497,,,,,,0.4939,
 Egypt,pall,,,16034.3965,,,,,,
 Egypt,p99p100,,,,0.2021,,,,,0.2021
 Egypt,p0p50,,,,,,,,,
 Egypt,p50p90,,,,,,,,,
 Ethiopia,p90p100,0.4547,0.5954,,,,,,0.4547,
 Ethiopia,pall,,,3404.1035,,,,,,
 Ethiopia,p99p100,,,,0.1382,,,,,0.1382
 Ethiopia,p0p50,,,,,,,,,
 Ethiopia,p50p90,,,,,,,,,
 Kenya,p90p100,0.4872,0.6196,,,,,,0.4872,
 Kenya,pall,,,7029.969,,,,,,
 Kenya,p99p100,,,,0.1519,,,,,0.1519
 Kenya,p0p50,,,,,,,,,
 Kenya,p50p90,,,,,,,,,
 Kuwait,p90p100,0.529,0.7326,,,,,,0.529,
 Kuwait,pall,,,59663.6938,,,,,,
 Kuwait,p99p100,,,,0.1896,,,,,0.1896
 Kuwait,p0p50,,,,,,,,,
 Kuwait,p50p90,,,,,,,,,
 Namibia,p90p100,0.642,0.8035,,,,,,0.642,
 Namibia,pall,,,16428.2542,,,,,,
 Namibia,p99p100,,,,0.2157,,,,,0.2157
 Namibia,p0p50,,,,,,,,,
 Namibia,p50p90,,,,,,,,,
 Pakistan,p90p100,0.441,0.5986,,,,,,0.441,
 Pakistan,pall,,,7586.4308,,,,,,
 Pakistan,p99p100,,,,0.1726,,,,,0.1726
 Pakistan,p0p50,,,,,,,,,
 Pakistan,p50p90,,,,,,,,,
 Qatar,p90p100,0.5378,0.7133,,,,,,0.5378,
 Qatar,pall,,,99787.4293,,,,,,
 Qatar,p99p100,,,,0.2244,,,,,0.2244
 Qatar,p0p50,,,,,,,,,
 Qatar,p50p90,,,,,,,,,
 Russian Federation,p90p100,0.4486,0.7326,,,,,,0.4486,
 Russian Federation,pall,,,26778.8882,,,,,,
 Russian Federation,p99p100,,,,0.186,,,,,0.186
 Russian Federation,p0p50,,,,,,,,,
 Russian Federation,p50p90,,,,,,,,,
 Saudi Arabia,p90p100,0.5455,0.7384,,,,,,0.5455,
 Saudi Arabia,pall,,,67259.3342,,,,,,
 Saudi Arabia,p99p100,,,,0.2115,,,,,0.2115
 Saudi Arabia,p0p50,,,,,,,,,
 Saudi Arabia,p50p90,,,,,,,,,
 Somalia,p90p100,0.4406,0.635,,,,,,0.4406,
 Somalia,pall,,,2008.7996,,,,,,
 Somalia,p99p100,,,,0.1244,,,,,0.1244
 Somalia,p0p50,,,,,,,,,
 Somalia,p50p90,,,,,,,,,
 South Africa,p90p100,0.6541,0.8707,,,,,,0.6541,
 South Africa,pall,,,19434.4001,,,,,,
 South Africa,p99p100,,,,0.1931,,,,,0.1931
 South Africa,p0p50,,,,,,,,,
 South Africa,p50p90,,,,,,,,,
 Spain,p90p100,0.3525,0.5748,,,,,,0.3525,
 Spain,pall,,,37403.9338,,,,,,
 Spain,p99p100,,,,0.1243,,,,,0.1243
 Spain,p0p50,,,,,,,,,
 Spain,p50p90,,,,,,,,,
 Tanzania,p90p100,0.5052,0.6131,,,,,,0.5052,
 Tanzania,pall,,,4142.9065,,,,,,
 Tanzania,p99p100,,,,0.1757,,,,,0.1757
 Tanzania,p0p50,,,,,,,,,
 Tanzania,p50p90,,,,,,,,,
 USA,p90p100,0.455,0.7387,,,,,,0.455,
 USA,pall,,,63583.6895,,,,,,
 USA,p99p100,,,,0.1889,,,,,0.1889
 USA,p0p50,,,,,,,,,
 USA,p50p90,,,,,,,,,
 Uganda,p90p100,0.5166,0.6777,,,,,,0.5166,
 Uganda,pall,,,4425.9544,,,,,,
 Uganda,p99p100,,,,0.1667,,,,,0.1667
 Uganda,p0p50,,,,,,,,,
 Uganda,p50p90,,,,,,,,,
 United Arab Emirates,p90p100,0.4837,0.7644,,,,,,0.4837,
 United Arab Emirates,pall,,,69089.8728,,,,,,
 United Arab Emirates,p99p100,,,,0.1604,,,,,0.1604
 United Arab Emirates,p0p50,,,,,,,,,
 United Arab Emirates,p50p90,,,,,,,,,
 United Kingdom,p90p100,0.3558,0.5667,,,,,,0.3558,
 United Kingdom,pall,,,41426.8183,,,,,,
 United Kingdom,p99p100,,,,0.1223,,,,,0.1223
 United Kingdom,p0p50,,,,,,,,,
 United Kingdom,p50p90,,,,,,,,,
 Yemen,p90p100,0.5816,0.6299,,,,,,0.5816,
 Yemen,pall,,,2078.4167,,,,,,
 Yemen,p99p100,,,,0.242,,,,,0.242
 Yemen,p0p50,,,,,,,,,
 Yemen,p50p90,,,,,,,,,